Employee_ID,Department,Experience_Years,Monthly_Sales
E001,Sales,1,42
E002,Sales,2,45
E003,Sales,3,47
E004,Sales,4,50
E005,Sales,5,52
E006,Sales,6,55
E007,Sales,7,57
E008,Sales,8,60
E009,Sales,9,63
E010,Sales,10,65
E011,Marketing,1,40
E012,Marketing,2,43
E013,Marketing,3,46
E014,Marketing,4,48
E015,Marketing,5,51
E016,Marketing,6,54
E017,Marketing,7,56
E018,Marketing,8,58
E019,Marketing,9,61
E020,Marketing,10,63
E021,Support,1,38
E022,Support,2,41
E023,Support,3,44
E024,Support,4,47
E025,Support,5,49
E026,Support,6,51
E027,Support,7,54
E028,Support,8,56
E029,Support,9,59
E030,Support,10,61
E031,IT,1,45
E032,IT,2,48
E033,IT,3,50
E034,IT,4,53
E035,IT,5,55
E036,IT,6,58
E037,IT,7,60
E038,IT,8,63
E039,IT,9,65
E040,IT,10,68
E041,Finance,1,43
E042,Finance,2,45
E043,Finance,3,48
E044,Finance,4,50
E045,Finance,5,53
E046,Finance,6,55
E047,Finance,7,58
E048,Finance,8,61
E049,Finance,9,63
E050,Finance,10,66
